split,features,n,n_features,auroc,auprc,brier
household_random,nonoverlapping,5605,22,0.6312910452165652,0.44397386252732174,0.21195103381314556
household_random,target_ingredients_added,5605,33,0.9998074696062695,0.9996172282219902,0.009931407312776811
climate_profile_blocked,nonoverlapping,5605,22,0.6084596479788034,0.41519001394561883,0.21638824792516265
climate_profile_blocked,target_ingredients_added,5605,33,0.9997435793119216,0.9994911845255074,0.010325779775630956
