framework,task,model,threshold,accuracy,precision,recall,f1_score,roc_auc,brier_score
Stage 3 Baseline,Binary,Naive Baseline,0.5,0.6663693131132917,0.0,0.0,0.0,0.5,0.22232145059726682
Stage 3 Lite,Binary,XGBoost (Engineered),0.5,0.7930419268510259,0.699438202247191,0.6657754010695187,0.6821917808219178,0.8617786654639951,0.13804981150551587
Stage 3 Lite,Binary,XGBoost (Threshold Tuned - Max F1),0.285,0.7805530776092774,0.6230769230769231,0.8663101604278075,0.7248322147651006,0.8617786654639951,0.13804981150551587
Stage 3 Lite,Binary,Soft-Voting Ensemble (LR+RF+XGB),0.5,0.7983942908117752,0.7189349112426036,0.6497326203208557,0.6825842696629213,0.8685902254293467,0.13627260942547992
Stage 3 Lite,Binary,Soft-Voting Ensemble (Tau=0.40),0.4,0.8055307760927743,0.6756756756756757,0.8021390374331551,0.7334963325183375,0.8685902254293467,0.13627260942547992
Stage 3 Lite,3-Class,XGBoost (Nominal Multi-class),N/A,0.6119536128456735,0.596530292868321,0.6120820251083616,0.5992668510003156,0.7884432519319647,
Stage 3 Lite,3-Class,XGBoost (Ordinal Frank & Hall),N/A,0.6092774308652988,0.5954940077245491,0.6093891127008932,0.5994256414815666,0.7895616546142005,
Stage 3 Lite,3-Class,Soft-Voting Ensemble (LR+RF+XGB),N/A,0.6181980374665478,0.6032678749565665,0.6183280526444065,0.6057444134268136,0.7938200211396449,
