status,n,mean_monthly_expenditure,median_monthly_expenditure,mean_log_expenditure
incomplete_uncertified,3,3298.5445999999997,3510.493,7.971283171213663
never_high,2543,4967.9269908769165,4303.247,8.394871660246451
strict_robust_high,705,4038.6337575886523,3413.9548,8.200052471802682
switcher,2353,4578.955054568636,3934.2808,8.311782756768274
