scheme,k,replicates,ari_mean,ari_sd,ari_p025,ari_p975,jaccard_mean,jaccard_p025,jaccard_p975,silhouette_mean
climate_profile_bootstrap,2,100,0.9199344621157363,0.041190273808394455,0.83446624847301,0.9724222711081961,0.9593894895300444,0.9160057833066491,0.9860261003481247,0.14947469996316387
climate_profile_bootstrap,3,100,0.5548774619822133,0.3069066879821177,0.20961172656984303,0.9592759337438161,0.6438890332490709,0.3585787158615544,0.9689765893729002,0.12856658469986068
climate_profile_bootstrap,4,100,0.5917954204063512,0.23842349687656927,0.3262342548460923,0.9179302755168101,0.6824861192160951,0.4809735074871268,0.9292561697657005,0.12434061430384542
climate_profile_bootstrap,5,100,0.652002778458736,0.18166876760222467,0.36676399367505236,0.9244376301139586,0.7142086139800532,0.4812202964320398,0.9263182408876924,0.12137229043247989
climate_profile_bootstrap,6,100,0.5692712240618921,0.14194286645601661,0.3370895159863337,0.8403570998343571,0.584307618993147,0.43161636463046654,0.8529316591308445,0.12054306570938111
climate_profile_bootstrap,7,100,0.51681649875636,0.12388774809348549,0.33042292493368736,0.8136298847156632,0.569941302401502,0.39826540587776676,0.8373459244769854,0.12277390041313244
climate_profile_bootstrap,8,100,0.616316868751404,0.11929222453330544,0.42497203332247513,0.8687337878203693,0.6535628883596541,0.47863109426109307,0.8743791925148378,0.12488698554423028
household_bootstrap,2,100,0.9627308572511332,0.01645142107755666,0.9246731316586759,0.9865175744379823,0.9811185245551535,0.9617843856899811,0.993172603936076,0.15182711861528517
household_bootstrap,3,100,0.6794248593462845,0.345310101151648,0.22216547850000218,0.9763292266513535,0.7367314753356138,0.3596107007747249,0.982634389747805,0.12934683145408138
household_bootstrap,4,100,0.6598384815553967,0.26171771947534683,0.36348107858269874,0.9548485505914385,0.747344903378244,0.5198750551124945,0.9614945598356717,0.1259980041907748
household_bootstrap,5,100,0.8939416487238513,0.07333991128066614,0.7554430903450852,0.9509618149839091,0.9046754995195342,0.7836173682844213,0.9563089038029172,0.1251894833916717
household_bootstrap,6,100,0.7334919470835457,0.10719841066544403,0.5875425755046496,0.9348923234115922,0.6942276315576567,0.5546986570300864,0.931858521382665,0.124089669424204
household_bootstrap,7,100,0.6413276061256393,0.16368069013436626,0.3808932097974793,0.9344389704553936,0.6704923522197831,0.43665089551606584,0.9367725083527428,0.12541132447218328
household_bootstrap,8,100,0.7201342068759952,0.1430584332645803,0.4337858821560596,0.9322595341006507,0.73707728350558,0.49318568332769447,0.9307239538021814,0.12692930445539502
