k,n_components,silhouette,davies_bouldin,calinski_harabasz,smallest_cluster,largest_cluster
2,9,0.15117503382067288,2.2346990491991914,1000.2243681861197,2487,3118
3,9,0.129466362960414,2.281961822455458,776.3392948434135,1287,2193
4,9,0.1263937768615878,2.125010422476177,688.4386417045959,823,1902
5,9,0.12655808484948763,2.0597843277664127,645.3077826079955,688,1628
6,9,0.12793271948641383,1.9053244597347643,600.355216880696,167,1563
7,9,0.12657302187948918,1.8297665581992946,573.9392299453949,159,1362
8,9,0.13058722246103038,1.8054603833855405,555.477534213176,142,1393
