variant,n_scored,n_excluded,mean,std,min,max,tertile_cut_low_medium,tertile_cut_medium_high,spearman_vs_baseline,tertile_kappa_vs_baseline,any_class_switch_n,any_class_switch_pct,high_status_switch_n,high_status_switch_pct,cluster_complete_n,cluster_n_components,k2_cluster_ari_vs_baseline
baseline_current,5605,0,0.46364542928446234,0.06460983053538014,0.24900359842679087,0.6575852774380714,0.43256042897957575,0.4937240489502903,1.0,1.0,0,0.0,0,0.0,5605,9,1.0
literacy_direction_reversed,5605,0,0.4953847354827975,0.06150096905136935,0.2966226460458385,0.6934147061792649,0.46454492736796044,0.5257118102598005,0.9126745418329024,0.6507582404444305,1305,23.28278322925959,686,12.23907225691347,5605,9,1.0
literacy_omitted,5605,0,0.48983340503475603,0.0651356147227807,0.2600082893698347,0.6866207630127726,0.4593538827620007,0.5200507074031364,0.9787182883834853,0.8255129293254932,652,11.632471008028546,370,6.601248884924175,5605,9,0.9450901873214728
loan_burden_direction,5605,0,0.48307536004356344,0.06452223311300112,0.26081403584130153,0.6799361664101768,0.45275831749170575,0.5148649495285761,0.7680133699163725,0.36440675942951917,2375,42.3728813559322,1146,20.446030330062445,5605,9,1.0
loan_omitted,5605,0,0.4826529360285362,0.06372452864907603,0.2600082893698347,0.6738449689884473,0.45142527698577234,0.513687435229709,0.9405764172094072,0.6777876793065858,1204,21.480820695807314,602,10.740410347903657,5605,9,0.9443954767052207
zero_meals_as_missing,5605,0,0.46343733038428186,0.0645458271101138,0.24900359842679087,0.6575852774380714,0.4322777823494537,0.4936683760404404,0.9978360802929535,0.9930419266295442,26,0.463871543264942,14,0.24977698483496877,5590,9,0.998568918663569
zero_meal_households_excluded,5590,15,0.46348628312567625,0.06457015872891994,0.24900359842679087,0.6575852774380714,0.4323977415176241,0.49369002039196097,0.9999999999999999,0.9973166361216013,10,0.17889087656529518,5,0.08944543828264759,5590,9,0.998568918663569
flood_binary_omitted,5605,0,0.4504788913100114,0.05459241988270073,0.24799215740595063,0.6711145930686717,0.4272003927082575,0.47303026556777783,0.7611048703635008,0.2924174618659573,2644,47.17216770740411,1210,21.587867975022302,5605,9,0.6707597001343999
flood_depth_omitted,5605,0,0.5069383871350754,0.07187443679473418,0.274426817231757,0.7261871392588651,0.47220847194782717,0.5421489306384498,0.9895190937409423,0.8710080244400119,482,8.599464763603924,236,4.2105263157894735,5605,9,0.8171652287700447
equal_indicator_weights,5605,0,0.4985405131121232,0.07035467737552481,0.23881976613639067,0.7121501844324195,0.46704596994492337,0.5282199860305443,0.9340830550361712,0.6745762608279138,1216,21.694915254237287,598,10.669045495093666,5605,9,1.0
robust_p01_p99_bounds,5605,0,0.4571830652163506,0.08019493386945092,0.21682603413886822,0.7131861483383451,0.417691801963028,0.4918839557830626,0.9649138773489944,0.7805530706240866,820,14.62979482604817,418,7.4576271186440675,5605,9,0.9751702349084689
