k,audit_subsample_n,mean_consensus_within_baseline,mean_consensus_between_baseline,pac_0_1_to_0_9
2,750,0.9691767230849764,0.03445072674418605,0.10159679572763684
3,750,0.7580068521365202,0.14159569657667195,0.5111704494882064
4,750,0.7471569730918229,0.10150464378114805,0.35332799287939476
5,750,0.8300762551664477,0.04683465093177937,0.24997952825990208
6,750,0.702067025733094,0.056287940105220556,0.2878291054739653
7,750,0.6618686807409205,0.06666575923741373,0.2893849577214063
8,750,0.705192265070922,0.047467498038217634,0.23950511793502446
