left,right,left_rows,right_rows,left_unique_keys,right_unique_keys,left_duplicate_keys,right_duplicate_keys,matched_keys,left_only_keys,right_only_keys,shared_columns_checked,columns_with_mismatch
raw,stage1_lvi,5605,5605,5605,5605,0,0,5605,0,0,26,0
stage1_lvi,stage2_cluster,5605,5605,5605,5605,0,0,5605,0,0,54,0
